ageNo,ageGrp,wk,imm,immPct
0,	18-39,	0,	1923.7379999999998,	0.004455275872750274
0,	18-39,	1,	3366.8576666666663,	0.007797465002658513
0,	18-39,	2,	318506.48333333334,	0.7376442376818139
0,	18-39,	3,	378462.45369444444,	0.8764991067841496
0,	18-39,	4,	514462.4585,	1.1914679539473876
0,	18-39,	5,	552238.1838333333,	1.2789545439368981
0,	18-39,	6,	925703.29,	2.1438800570881016
0,	18-39,	7,	1062034.655638889,	2.459616318486503
0,	18-39,	8,	1512003.470611111,	3.5017203913050325
0,	18-39,	9,	1995406.1242777777,	4.621255473371591
0,	18-39,	10,	1853502.2791666663,	4.292613643052688
0,	18-39,	11,	2259924.659138889,	5.233866466272891
0,	18-39,	12,	2649869.662375544,	6.136958552939474
0,	18-39,	13,	3472845.3667169153,	8.042926932943287
0,	18-39,	14,	5154838.285867375,	11.938333932663543
0,	18-39,	15,	6675471.512417546,	15.460040384140498
0,	18-39,	16,	6744540.176091634,	15.619999770933434
0,	18-39,	17,	6349879.86064745,	14.70598726957905
0,	18-39,	18,	6280011.91595641,	14.544176790053957
0,	18-39,	19,	5986041.051052318,	13.863355752210584
0,	18-39,	20,	5777266.292410744,	13.379844408662208
0,	18-39,	21,	5872842.555203052,	13.60119399869277
0,	18-39,	22,	5907020.74166584,	13.680348878162851
0,	18-39,	23,	5997850.894753861,	13.890706728125412
0,	18-39,	24,	6148910.706795913,	14.240553295554626
0,	18-39,	25,	6103293.348118223,	14.134905895807204
0,	18-39,	26,	6073898.251437407,	14.066828400317068
0,	18-39,	27,	6053040.4011140475,	14.018522717680922
0,	18-39,	28,	6072198.057224697,	14.06289084008024
0,	18-39,	29,	6160090.459677942,	14.266445014322262
0,	18-39,	30,	8126847.56603168,	18.821350871303803
0,	18-39,	31,	1.0761531435952203E7,	24.923139928847622
0,	18-39,	32,	1.2300948215058591E7,	28.488348098598195
0,	18-39,	33,	1.3514561079877105E7,	31.29901156497733
0,	18-39,	34,	1.4175534139405588E7,	32.82979035328175
0,	18-39,	35,	1.4593747425289543E7,	33.79835029349316
0,	18-39,	36,	1.5710172773283876E7,	36.38393259037869
0,	18-39,	37,	1.725486554387435E7,	39.961359678487106
0,	18-39,	38,	1.7553528454266272E7,	40.65304724652106
0,	18-39,	39,	1.7405451521899518E7,	40.310108871293004
0,	18-39,	40,	1.8226539083154634E7,	42.2117044113693
0,	18-39,	41,	1.9619972684205018E7,	45.43882323058444
0,	18-39,	42,	2.287052136193265E7,	52.96692274157826
0,	18-39,	43,	2.3651985774381306E7,	54.776753156216564
0,	18-39,	44,	2.6057997008253E7,	60.348948434281816
0,	18-39,	45,	2.6214648918830074E7,	60.711746007347514
0,	18-39,	46,	2.6085489097903125E7,	60.41261866573208
0,	18-39,	47,	2.5510781862333667E7,	59.081626981559076
0,	18-39,	48,	2.535356440360976E7,	58.71751962877625
0,	18-39,	49,	2.6972366966170944E7,	62.46658109126499
0,	18-39,	50,	3.1691514396421622E7,	73.39587795286845
0,	18-39,	51,	3.2806363960942402E7,	75.97781081823554
1,	40-49,	0,	0.0,	0.0
1,	40-49,	1,	0.0,	0.0
1,	40-49,	2,	6923.487999999999,	0.04209831217915068
1,	40-49,	3,	7952.518,	0.04835533554392166
1,	40-49,	4,	10372.97775,	0.06307295622479364
1,	40-49,	5,	11028.630249999998,	0.06705965536055304
1,	40-49,	6,	11345.643250000001,	0.06898725489403229
1,	40-49,	7,	11991.6215,	0.07291512969203026
1,	40-49,	8,	22152.551249999997,	0.13469872672374597
1,	40-49,	9,	33519.33608333333,	0.20381453314774814
1,	40-49,	10,	27190.42822222222,	0.16533156922983044
1,	40-49,	11,	28005.95958333333,	0.17029041278266727
1,	40-49,	12,	28374.231924670676,	0.17252969506243235
1,	40-49,	13,	34167.093439321485,	0.20775322581085823
1,	40-49,	14,	47906.81297048321,	0.2912976765381246
1,	40-49,	15,	60612.289887981235,	0.36855340857056623
1,	40-49,	16,	49730.26703581661,	0.3023852004114594
1,	40-49,	17,	37076.60730922871,	0.22544454313312748
1,	40-49,	18,	36863.71183264084,	0.22415003085334517
1,	40-49,	19,	36657.65435605295,	0.22289709707542213
1,	40-49,	20,	36451.59687946508,	0.22164416329749917
1,	40-49,	21,	36245.5394028772,	0.22039122951957615
1,	40-49,	22,	36039.48192628932,	0.21913829574165317
1,	40-49,	23,	35833.424449701444,	0.21788536196373018
1,	40-49,	24,	246256.7216987317,	1.4973655397810233
1,	40-49,	25,	351227.64006561396,	2.1356418668492805
1,	40-49,	26,	490695.9705922028,	2.9836799247780736
1,	40-49,	27,	675756.9555983348,	4.108944404036111
1,	40-49,	28,	914973.8319041341,	5.563504119780952
1,	40-49,	29,	2831398.989039042,	17.216339299540525
1,	40-49,	30,	3613752.473387034,	21.973444564766385
1,	40-49,	31,	4675737.333971595,	28.43085016587679
1,	40-49,	32,	4775734.939910253,	29.038886235553417
1,	40-49,	33,	5408249.131631181,	32.88489274279526
1,	40-49,	34,	5673539.622435002,	34.49799323491994
1,	40-49,	35,	7894690.385781987,	48.00371437321616
1,	40-49,	36,	8219980.668858066,	49.98164397831999
1,	40-49,	37,	7542978.749473543,	45.86512956417876
1,	40-49,	38,	7709533.914578162,	46.87786928953457
1,	40-49,	39,	7703679.627734158,	46.842272261686006
1,	40-49,	40,	8014152.4874132965,	48.73010443095185
1,	40-49,	41,	8575560.736853037,	52.143750810473946
1,	40-49,	42,	9960220.619564518,	60.56318390609484
1,	40-49,	43,	1.0414201370128188E7,	63.32361670536517
1,	40-49,	44,	1.1247310450780928E7,	68.3893416920488
1,	40-49,	45,	1.1201296279632319E7,	68.10955223597131
1,	40-49,	46,	1.1146594097662976E7,	67.7769352756435
1,	40-49,	47,	1.0925841626482505E7,	66.43464849099472
1,	40-49,	48,	1.0863579265571948E7,	66.05606181522903
1,	40-49,	49,	1.1516860673087966E7,	70.02834350827801
1,	40-49,	50,	1.3401351033256928E7,	81.4869989549247
1,	40-49,	51,	1.3775532749535603E7,	83.76221322605944
2,	50-59,	0,	0.0,	0.0
2,	50-59,	1,	0.0,	0.0
2,	50-59,	2,	4149.904,	0.03259046812774817
2,	50-59,	3,	4766.339,	0.03743152113049918
2,	50-59,	4,	6217.9127499999995,	0.04883117472114871
2,	50-59,	5,	6610.290749999999,	0.05191263942564057
2,	50-59,	6,	6800.214749999999,	0.053404170812558056
2,	50-59,	7,	7187.365249999999,	0.05644458235723277
2,	50-59,	8,	13277.851749999998,	0.10427503967883116
2,	50-59,	9,	20091.244138888887,	0.15778269852875282
2,	50-59,	10,	16298.866694444443,	0.12799999602971726
2,	50-59,	11,	16787.802,	0.13183975485118377
2,	50-59,	12,	17006.972589155073,	0.13356096866731015
2,	50-59,	13,	20479.384755753228,	0.16083088576465077
2,	50-59,	14,	28714.559694412965,	0.2255042387783158
2,	50-59,	15,	36329.98051948417,	0.28531047277285465
2,	50-59,	16,	29812.991533786895,	0.2341305607008518
2,	50-59,	17,	22227.605127007664,	0.1745601961992169
2,	50-59,	18,	22098.096220228443,	0.17354312305760985
2,	50-59,	19,	229096.83619662368,	1.7991676767062579
2,	50-59,	20,	364522.7115003807,	2.8627085857874057
2,	50-59,	21,	750916.1102494972,	5.897174382274595
2,	50-59,	22,	1281460.4903139672,	10.063702019744525
2,	50-59,	23,	1687115.5767504983,	13.24943575367396
2,	50-59,	24,	3012209.2785125505,	23.655802757237417
2,	50-59,	25,	3724196.6080427235,	29.247257492193604
2,	50-59,	26,	4719994.312118782,	37.06756209113748
2,	50-59,	27,	5986439.249653826,	47.013342372388294
2,	50-59,	28,	7883444.480913198,	61.91110591764864
2,	50-59,	29,	7715850.381361414,	60.59493808344306
2,	50-59,	30,	7957103.538974535,	62.489573078351135
2,	50-59,	31,	8727102.837037308,	68.53661358384315
2,	50-59,	32,	9106681.798435029,	71.51756351506954
2,	50-59,	33,	1.0703749965929633E7,	84.05982936280338
2,	50-59,	34,	1.093160789822066E7,	85.849267547394
2,	50-59,	35,	9904244.777846895,	77.7810700589304
2,	50-59,	36,	8656367.024353981,	67.98110356511829
2,	50-59,	37,	8739907.242984844,	68.63717050851608
2,	50-59,	38,	8787308.04843685,	69.00942356287908
2,	50-59,	39,	8801636.975853428,	69.12195302194002
2,	50-59,	40,	8854676.909994897,	69.53849188238964
2,	50-59,	41,	8967458.828763504,	70.42420286004469
2,	50-59,	42,	9324979.50562492,	73.23192232157028
2,	50-59,	43,	9389736.347371802,	73.74047764887554
2,	50-59,	44,	9503365.089030784,	74.63283898625423
2,	50-59,	45,	9463977.057955727,	74.32351270512426
2,	50-59,	46,	9419476.859580096,	73.97403900721716
2,	50-59,	47,	9344936.239316124,	73.38864866832365
2,	50-59,	48,	9306035.857752854,	73.08315204828256
2,	50-59,	49,	9459751.11978374,	74.29032511733814
2,	50-59,	50,	9928850.091643628,	77.97430313012087
2,	50-59,	51,	9965047.468809607,	78.25857222811348
3,	60-99,	0,	0.0,	0.0
3,	60-99,	1,	0.0,	0.0
3,	60-99,	2,	5465.6359999999995,	0.03609353934127611
3,	60-99,	3,	6277.195750000001,	0.04145285411533374
3,	60-99,	4,	8188.3775000000005,	0.054073766609680954
3,	60-99,	5,	8704.288999999999,	0.05748070260429653
3,	60-99,	6,	8954.39375,	0.05913232478213001
3,	60-99,	7,	9463.4575,	0.062494040141118895
3,	60-99,	8,	17505.87425,	0.11560392257109832
3,	60-99,	9,	26480.211583333334,	0.17486794922829788
3,	60-99,	10,	202035.38516666667,	1.3341854676826184
3,	60-99,	11,	960101.2067777776,	6.340241223242892
3,	60-99,	12,	1571179.8265386212,	10.375634396690725
3,	60-99,	13,	2252864.5254036505,	14.87729047053664
3,	60-99,	14,	3255943.4756651656,	21.50134475327152
3,	60-99,	15,	4049933.534570192,	26.744634176070754
3,	60-99,	16,	5677584.696183124,	37.493189556551656
3,	60-99,	17,	6306823.208074497,	41.648505604674384
3,	60-99,	18,	6299381.548924324,	41.59936295827402
3,	60-99,	19,	6249529.285967117,	41.270152485001084
3,	60-99,	20,	6184362.29523454,	40.8398078107932
3,	60-99,	21,	7775601.100949508,	51.34790612459207
3,	60-99,	22,	9414906.41407042,	62.1734222788864
3,	60-99,	23,	1.0911862202964826E7,	72.05890178367069
3,	60-99,	24,	1.1344120015109355E7,	74.91341210016681
3,	60-99,	25,	1.1407620662279496E7,	75.33275270514525
3,	60-99,	26,	1.1635747736629069E7,	76.83924042822936
3,	60-99,	27,	1.1793820340333248E7,	77.88310791969324
3,	60-99,	28,	1.2933485263168348E7,	85.40913796051943
3,	60-99,	29,	1.3126340584951125E7,	86.68270084394986
3,	60-99,	30,	1.1806396106551813E7,	77.96615478061786
3,	60-99,	31,	1.0778974331906987E7,	71.18134725899972
3,	60-99,	32,	1.0710206049456816E7,	70.72722065634137
3,	60-99,	33,	1.0641522586725734E7,	70.27365417950695
3,	60-99,	34,	1.0572900896077542E7,	69.82049562831996
3,	60-99,	35,	1.0510037227395765E7,	69.40536145204064
3,	60-99,	36,	1.0452751175379567E7,	69.02706030425966
3,	60-99,	37,	1.0398040802603837E7,	68.66576822550493
3,	60-99,	38,	1.034592365308561E7,	68.32160107158334
3,	60-99,	39,	1.0295328933126997E7,	67.98748761886037
3,	60-99,	40,	1.0252160308722777E7,	67.70241403488177
3,	60-99,	41,	1.021296919983992E7,	67.44360685667019
3,	60-99,	42,	1.0178407970016E7,	67.21537411150886
3,	60-99,	43,	1.0150402764088694E7,	67.03043552395971
3,	60-99,	44,	1.0125835080898732E7,	66.86819738008388
3,	60-99,	45,	1.0104835229717555E7,	66.72952020605167
3,	60-99,	46,	1.0087677546446694E7,	66.61621563982334
3,	60-99,	47,	1.0080402564259643E7,	66.56817368170988
3,	60-99,	48,	1.0080402291276725E7,	66.56817187900664
3,	60-99,	49,	1.0080402291276725E7,	66.56817187900664
3,	60-99,	50,	1.0080402291276725E7,	66.56817187900664
3,	60-99,	51,	1.0080402291276725E7,	66.56817187900664
